time,time_change,time,time_change,h,F,buoyancy,Fv(N),x/d,y/d,Cfr,Cfv
46.439,29.145,46.439,29.145,50.855,1.893237599,0.328736255,1.564501343,0,0.771375,0,0.622495306
46.434,29.14,46.434,29.14,50.86,1.892960401,0.328736255,1.564224146,0,0.7715,0,0.622385012
46.429,29.135,46.429,29.135,50.865,1.893852568,0.328736255,1.565116313,0,0.771625,0,0.622739994
46.424,29.13,46.424,29.13,50.87,1.893601849,0.328736255,1.564865593,0,0.77175,0,0.622640236
46.419,29.125,46.419,29.125,50.875,1.893362766,0.328736255,1.564626511,0,0.771875,0,0.622545108
46.414,29.12,46.414,29.12,50.88,1.893468663,0.328736255,1.564732408,0,0.772,0,0.622587243
46.409,29.115,46.409,29.115,50.885,1.893517154,0.328736255,1.564780898,0,0.772125,0,0.622606537
46.404,29.11,46.404,29.11,50.89,1.893475463,0.328736255,1.564739207,0,0.77225,0,0.622589949
46.399,29.105,46.399,29.105,50.895,1.893214389,0.328736255,1.564478134,0,0.772375,0,0.622486071
46.394,29.1,46.394,29.1,50.9,1.892871854,0.328736255,1.564135598,0,0.7725,0,0.62234978
46.389,29.095,46.389,29.095,50.905,1.892715416,0.328736255,1.56397916,0,0.772625,0,0.622287536
46.384,29.09,46.384,29.09,50.91,1.892702418,0.328736255,1.563966163,0,0.77275,0,0.622282364
46.379,29.085,46.379,29.085,50.915,1.892644691,0.328736255,1.563908436,0,0.772875,0,0.622259395
46.374,29.08,46.374,29.08,50.92,1.892349016,0.328736255,1.563612761,0,0.773,0,0.62214175
46.369,29.075,46.369,29.075,50.925,1.891148029,0.328736255,1.562411773,0,0.773125,0,0.621663892
46.364,29.07,46.364,29.07,50.93,1.888892383,0.328736255,1.560156127,0,0.77325,0,0.620766399
46.359,29.065,46.359,29.065,50.935,1.887004213,0.328736255,1.558267958,0,0.773375,0,0.620015121
46.354,29.06,46.354,29.06,50.94,1.891354084,0.328736255,1.562617828,0,0.7735,0,0.621745879
46.349,29.055,46.349,29.055,50.945,1.903954768,0.328736255,1.575218513,0,0.773625,0,0.626759532
46.344,29.05,46.344,29.05,50.95,1.859807665,0.328736255,1.531071409,0,0.77375,0,0.609193958
46.339,29.045,46.339,29.045,50.955,1.859190795,0.328736255,1.53045454,0,0.773875,0,0.608948513
46.334,29.04,46.334,29.04,50.96,1.858874885,0.328736255,1.530138629,0,0.774,0,0.608822816
46.329,29.035,46.329,29.035,50.965,1.858171662,0.328736255,1.529435406,0,0.774125,0,0.608543013
46.324,29.03,46.324,29.03,50.97,1.857287237,0.328736255,1.528550982,0,0.77425,0,0.608191111
46.319,29.025,46.319,29.025,50.975,1.8680869,0.328736255,1.539350644,0,0.774375,0,0.61248816
46.314,29.02,46.314,29.02,50.98,1.863845996,0.328736255,1.53510974,0,0.7745,0,0.610800758
46.309,29.015,46.309,29.015,50.985,1.861572349,0.328736255,1.532836093,0,0.774625,0,0.609896103
46.304,29.01,46.304,29.01,50.99,1.869130166,0.328736255,1.540393911,0,0.77475,0,0.612903263
46.299,29.005,46.299,29.005,50.995,1.878854022,0.328736255,1.550117767,0,0.774875,0,0.616772262
46.294,29,46.294,29,51,1.837966974,0.328736255,1.509230718,0,0.775,0,0.600503823
46.289,28.995,46.289,28.995,51.005,1.837049871,0.328736255,1.508313616,0,0.775125,0,0.600138919
46.284,28.99,46.284,28.99,51.01,1.836612779,0.328736255,1.507876524,0,0.77525,0,0.599965006
46.279,28.985,46.279,28.985,51.015,1.836316077,0.328736255,1.507579822,0,0.775375,0,0.599846952
46.274,28.98,46.274,28.98,51.02,1.836177025,0.328736255,1.507440769,0,0.7755,0,0.599791625
46.269,28.975,46.269,28.975,51.025,1.836242445,0.328736255,1.50750619,0,0.775625,0,0.599817655
46.264,28.97,46.264,28.97,51.03,1.836556613,0.328736255,1.507820358,0,0.77575,0,0.599942658
46.259,28.965,46.259,28.965,51.035,1.836847632,0.328736255,1.508111377,0,0.775875,0,0.600058451
46.254,28.96,46.254,28.96,51.04,1.837288976,0.328736255,1.508552721,0,0.776,0,0.600234056
46.249,28.955,46.249,28.955,51.045,1.837809526,0.328736255,1.509073271,0,0.776125,0,0.600441176
46.244,28.95,46.244,28.95,51.05,1.838087202,0.328736255,1.509350946,0,0.77625,0,0.60055166
46.239,28.945,46.239,28.945,51.055,1.837653715,0.328736255,1.50891746,0,0.776375,0,0.600379181
46.234,28.94,46.234,28.94,51.06,1.836293137,0.328736255,1.507556882,0,0.7765,0,0.599837824
46.229,28.935,46.229,28.935,51.065,1.835043336,0.328736255,1.50630708,0,0.776625,0,0.599340544
46.224,28.93,46.224,28.93,51.07,1.835128255,0.328736255,1.506392,0,0.77675,0,0.599374332
46.219,28.925,46.219,28.925,51.075,1.837242773,0.328736255,1.508506518,0,0.776875,0,0.600215673
46.214,28.92,46.214,28.92,51.08,1.837337356,0.328736255,1.508601101,0,0.777,0,0.600253306
46.209,28.915,46.209,28.915,51.085,1.837531315,0.328736255,1.50879506,0,0.777125,0,0.60033048
46.204,28.91,46.204,28.91,51.09,1.838137247,0.328736255,1.509400991,0,0.77725,0,0.600571572
46.199,28.905,46.199,28.905,51.095,1.839060365,0.328736255,1.51032411,0,0.777375,0,0.60093887
46.194,28.9,46.194,28.9,51.1,1.839725149,0.328736255,1.510988894,0,0.7775,0,0.601203379
46.189,28.895,46.189,28.895,51.105,1.838837641,0.328736255,1.510101386,0,0.777625,0,0.60085025
46.184,28.89,46.184,28.89,51.11,1.836876422,0.328736255,1.508140167,0,0.77775,0,0.600069906
46.179,28.885,46.179,28.885,51.115,1.83560964,0.328736255,1.506873385,0,0.777875,0,0.59956587
46.174,28.88,46.174,28.88,51.12,1.836955511,0.328736255,1.508219256,0,0.778,0,0.600101375
46.169,28.875,46.169,28.875,51.125,1.83889701,0.328736255,1.510160754,0,0.778125,0,0.600873872
46.164,28.87,46.164,28.87,51.13,1.83846493,0.328736255,1.509728675,0,0.77825,0,0.600701953
46.159,28.865,46.159,28.865,51.135,1.838255081,0.328736255,1.509518826,0,0.778375,0,0.600618457
46.154,28.86,46.154,28.86,51.14,1.838286103,0.328736255,1.509549847,0,0.7785,0,0.6006308
46.149,28.855,46.149,28.855,51.145,1.838460566,0.328736255,1.509724311,0,0.778625,0,0.600700217
46.144,28.85,46.144,28.85,51.15,1.838681316,0.328736255,1.509945061,0,0.77875,0,0.600788051
46.139,28.845,46.139,28.845,51.155,1.838760097,0.328736255,1.510023842,0,0.778875,0,0.600819397
46.134,28.84,46.134,28.84,51.16,1.838732151,0.328736255,1.509995896,0,0.779,0,0.600808277
46.129,28.835,46.129,28.835,51.165,1.838657686,0.328736255,1.509921431,0,0.779125,0,0.600778649
46.124,28.83,46.124,28.83,51.17,1.838460125,0.328736255,1.50972387,0,0.77925,0,0.600700042
46.119,28.825,46.119,28.825,51.175,1.838221694,0.328736255,1.509485439,0,0.779375,0,0.600605173
46.114,28.82,46.114,28.82,51.18,1.837647781,0.328736255,1.508911526,0,0.7795,0,0.60037682
46.109,28.815,46.109,28.815,51.185,1.836529895,0.328736255,1.50779364,0,0.779625,0,0.599932027
46.104,28.81,46.104,28.81,51.19,1.835977644,0.328736255,1.507241389,0,0.77975,0,0.599712294
46.099,28.805,46.099,28.805,51.195,1.835816131,0.328736255,1.507079876,0,0.779875,0,0.59964803
46.094,28.8,46.094,28.8,51.2,1.835524969,0.328736255,1.506788714,0,0.78,0,0.59953218
46.089,28.795,46.089,28.795,51.205,1.835382693,0.328736255,1.506646438,0,0.780125,0,0.59947557
46.084,28.79,46.084,28.79,51.21,1.834992852,0.328736255,1.506256597,0,0.78025,0,0.599320457
46.079,28.785,46.079,28.785,51.215,1.834212693,0.328736255,1.505476438,0,0.780375,0,0.599010042
46.074,28.78,46.074,28.78,51.22,1.833578242,0.328736255,1.504841986,0,0.7805,0,0.598757602
46.069,28.775,46.069,28.775,51.225,1.832883862,0.328736255,1.504147606,0,0.780625,0,0.598481317
46.064,28.77,46.064,28.77,51.23,1.832177014,0.328736255,1.503440759,0,0.78075,0,0.598200071
46.059,28.765,46.059,28.765,51.235,1.831677405,0.328736255,1.50294115,0,0.780875,0,0.598001283
46.054,28.76,46.054,28.76,51.24,1.831357602,0.328736255,1.502621347,0,0.781,0,0.597874037
46.029,28.735,46.029,28.735,51.265,1.831722437,0.328736255,1.502986181,0,0.781625,0,0.5980192
46.009,28.715,46.009,28.715,51.285,1.83093907,0.328736255,1.502202815,0,0.782125,0,0.597707509
45.989,28.695,45.989,28.695,51.305,1.830466117,0.328736255,1.501729862,0,0.782625,0,0.597519327
45.969,28.675,45.969,28.675,51.325,1.830748768,0.328736255,1.502012513,0,0.783125,0,0.59763179
45.949,28.655,45.949,28.655,51.345,1.829907709,0.328736255,1.501171454,0,0.783625,0,0.597297143
45.929,28.635,45.929,28.635,51.365,1.829250991,0.328736255,1.500514736,0,0.784125,0,0.597035844
45.909,28.615,45.909,28.615,51.385,1.828400758,0.328736255,1.499664503,0,0.784625,0,0.596697546
45.884,28.59,45.884,28.59,51.41,1.824596566,0.328736255,1.49586031,0,0.78525,0,0.595183906
45.864,28.57,45.864,28.57,51.43,1.822622684,0.328736255,1.493886428,0,0.78575,0,0.594398524
45.844,28.55,45.844,28.55,51.45,1.822998969,0.328736255,1.494262714,0,0.78625,0,0.594548243
45.824,28.53,45.824,28.53,51.47,1.820096265,0.328736255,1.491360009,0,0.78675,0,0.593393294
